"Price"	"Name"
27988	"HP"
37919	"Apple"
26499	"Lenovo"
21890	"Dell"
25145	"Lenovo"
99000	"Dell"
28000	"Acer"
76990	"Gaming"
51208	"LENOVO-NB-V110"
145999	"HP"
30967	"Asus"
58480	"Apple"
28900	"Lenovo"
68357	"HP"
38990	"(CERTIFIED"
82861	"Acer"
72000	"Dell"
28980	"Dell"
39980	"Dell"
21485	"Dell"
20899	"Acer"
250	"Saco"
155495	"Apple"
19999	"Asus"
19499	"Asus"
85990	"MSI"
35319	"(CERTIFIED"
44779	"HP"
98982	"Lenovo"
29990	"HP"
47500	"Acer"
62775	"Dell"
55990	"LG"
47300	"Dell"
29990	"Dell"
21713	"Acer"
69699	"(CERTIFIED"
38195	"ASUS"
47087	"Lenovo"
22590	"Lenovo"
38990	"Asus"
28980	"Dell"
39980	"Dell"
21485	"Dell"
31990	"Lenovo"
42895	"Lenovo"
70190	"Asus"
33890	"HP"
115490	"Apple"
32495	"(CERTIFIED"
21500	"Dell"
42460	"Dell"
23990	"Acer"
33700	"Asus"
105990	"Acer"
32890	"HP"
69582	"Dell"
32600	"Micromax"
65290	"HP"
78990	"Asus"
23434.88	"HP"
41999	"MSI"
73299	"Lenovo"
38990	"Asus"
82861	"Asus"
28980	"Dell"
39980	"Dell"
21485	"Dell"
41999	"Asus"
73299	"Asus"
99990	"Apple"
133848	"Apple"
47980	"DELL"
29988	"Lenovo"
129800	"MSI"
37964	"HP"
85980	"Dell"
12999	"Lava"
24888	"HP"
198900	"Lenovo"
72000	"HP"
24990	"Lenovo"
41990	"ACER"
28990	"Lenovo"
64390	"ACER"
55000	"HP"
58670	"HP"
38990	"HP"
82861	"Asus"
28980	"Dell"
39980	"Dell"
21485	"Dell"
64390	"HP"
55000	"HP"
58670	"Asus"
34399	"Lenovo"
36900	"LENOVO"
21400	"Acer"
32890	"Lenovo"
46990	"Dell"
67599	"Inspiron"
12795	"(CERTIFIED"
23000	"Lenovo"
85490	"HP"
31947	"Asus"
71999	"Asus"
138504	"Lenovo-Thinkpad"
56778	"ASUS"
55541	"Dell"
155995	"Apple"
30237	"(CERTIFIED"
35445	"(CERTIFIED"
45000	"Lenovo"
28980	"Dell"
39980	"Dell"
21485	"Dell"
47890	"Lenovo"
114632	"Asus"
42990	"Razer"
56299	"Lenovo"
29499	"Asus"
26789	"Lenovo"
96250	"Asus"
44300	"Dell"
106689	"Asus"
25805	"Lenovo"
106140	"HP"
44654.9	"Lenovo"
40900	"HP"
334990	"Asus"
48900	"HP"
46890	"MSI"
25499	"Dell"
29990	"Lenovo"
39990	"Acer"
38990	"HP"
82861	"Lenovo"
28980	"Dell"
39980	"Dell"
21485	"Dell"
87990	"Lenovo"
47990	"Lenovo"
73459	"Asus"
67921.86	"(CERTIFIED"
19990	"(CERTIFIED"
57944	"ASUS"
